2026-02-18 00:25:12 | INFO | log file (Reload_NoBuild_Ranked): E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\Reload_NoBuild_Ranked\output\logs\pipeline_2026-02-18_00-25-12.log
2026-02-18 00:25:12 | INFO | ===== Reload_NoBuild_Ranked: pipeline start =====
2026-02-18 00:25:12 | INFO | paths: lt=E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\Reload_NoBuild_Ranked\input\AthenaLootTierData_Client__final.json lp=E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\Reload_NoBuild_Ranked\input\AthenaLootPackages_Client__final.json minlist=E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\Reload_NoBuild_Ranked\input\items_unique_min.json
2026-02-18 00:25:12 | INFO | output: summary=E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\Reload_NoBuild_Ranked\output\summary lootdata=E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\戦利品データ\Reload_NoBuild_Ranked
2026-02-18 00:25:12 | INFO | flags: hotfix=True prewarm=True image=True workers=8
2026-02-18 00:25:12 | INFO | hotfix start: E:\フォートナイト\Picture\Loot Pool\TEST4\New Loot\System Update\LootPackage.py
2026-02-18 00:25:14 | INFO | hotfix lp stdout: [STEP1-1] base e:\Fmodel\Exports\FortniteGame\Content\Items\DataTables\AthenaLootPackages_Client.json
[HOTFIX:SEASON1] target=/Game/Items/Datatables/AthenaLootPackages_Client
[HOTFIX:SEASON1] Addrow(TableUpdate) なし -> スキップ
[HOTFIX:SEASON1] done: applied=0, deleted=0, skipped=0
[STEP1-2] merge e:\Fmodel\Exports\FortniteGame\Plugins\GameFeatures\BlastBerryLoot\Content\DataTables\BlastBerryLootPackages.json : replaced=613, added=1445
[HOTFIX:SEASON2] target=/BlastBerryLoot/DataTables/BlastBerryLootPackages
[951] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.60.Weight=0.000000 -> OK
[952] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.61.Weight=0.000000 -> OK
[953] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.62.Weight=0.000000 -> OK
[954] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.87.Weight=0.000000 -> OK
[955] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.88.Weight=0.000000 -> OK
[956] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.89.Weight=0.000000 -> OK
[957] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.90.Weight=0.000000 -> OK
[958] RowUpdate WorldList.AthenaLoot.Weapon.Handgun.01.ItemDefinition=/MusterCoreWeapons/Items/Weapons/MusterPistol/WID_Pistol_Muster_Athena_C.WID_Pistol_Muster_Athena_C -> OK
[959] RowUpdate WorldList.AthenaLoot.Weapon.Handgun.02.ItemDefinition=/MusterCoreWeapons/Items/Weapons/MusterPistol/WID_Pistol_Muster_Athena_UC.WID_Pistol_Muster_Athena_UC -> OK
[960] RowUpdate WorldList.AthenaLoot.Weapon.Handgun.03.ItemDefinition=/MusterCoreWeapons/Items/Weapons/MusterPistol/WID_Pistol_Muster_Athena_R.WID_Pistol_Muster_Athena_R -> OK
[961] RowUpdate WorldList.AthenaLoot.Weapon.Handgun.17.Weight=0.000000 -> OK
[962] RowUpdate WorldList.AthenaLoot.Weapon.Handgun.18.Weight=0.000000 -> OK
[963] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.01.Weight=0.400000 -> OK
[964] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.01.ItemDefinition=/MusterCoreWeapons/Items/Weapons/MusterPistol/WID_Pistol_Muster_Athena_UC.WID_Pistol_Muster_Athena_UC -> OK
[965] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.02.ItemDefinition=/MusterCoreWeapons/Items/Weapons/MusterPistol/WID_Pistol_Muster_Athena_R.WID_Pistol_Muster_Athena_R -> OK
[966] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.03.ItemDefinition=/MusterCoreWeapons/Items/Weapons/MusterPistol/WID_Pistol_Muster_Athena_VR.WID_Pistol_Muster_Athena_VR -> OK
[967] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.04.ItemDefinition=/MusterCoreWeapons/Items/Weapons/MusterPistol/WID_Pistol_Muster_Athena_SR.WID_Pistol_Muster_Athena_SR -> OK
[968] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.24.Weight=0.000000 -> OK
[969] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.25.Weight=0.000000 -> OK
[970] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.26.Weight=0.000000 -> OK
[971] RowUpdate WorldList.AthenaLoot.Weapon.SMG.06.Weight=0.000000 -> OK
[972] RowUpdate WorldList.AthenaLoot.Weapon.SMG.07.Weight=0.000000 -> OK
[973] RowUpdate WorldList.AthenaLoot.Weapon.SMG.08.Weight=0.000000 -> OK
[974] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.09.Weight=0.000000 -> OK
[975] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.10.Weight=0.000000 -> OK
[976] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.11.Weight=0.000000 -> OK
[977] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.12.Weight=0.000000 -> OK
[978] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.13.Weight=0.000000 -> OK
[979] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.14.Weight=0.000000 -> OK
[980] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.15.Weight=0.000000 -> OK
[981] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.25.Weight=0.000000 -> OK
[982] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.26.Weight=0.000000 -> OK
[983] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.27.Weight=0.000000 -> OK
[984] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.17.Weight=0.000000 -> OK
[985] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.18.Weight=0.000000 -> OK
[986] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.19.Weight=0.000000 -> OK
[987] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.20.Weight=0.000000 -> OK
[988] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.33.Weight=0.000000 -> OK
[989] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.34.Weight=0.000000 -> OK
[990] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.35.Weight=0.000000 -> OK
[991] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.36.Weight=0.000000 -> OK
[992] RowUpdate WorldList.ApolloLoot.Weapon.HighShotgun.47.Weight=0.000000 -> OK
[993] RowUpdate WorldList.ApolloLoot.Weapon.HighHandgun.03.ItemDefinition=/MusterCoreWeapons/Items/Weapons/MusterPistol/WID_Pistol_Muster_Athena_VR.WID_Pistol_Muster_Athena_VR -> OK
[994] RowUpdate WorldList.ApolloLoot.Weapon.HighHandgun.04.ItemDefinition=/MusterCoreWeapons/Items/Weapons/MusterPistol/WID_Pistol_Muster_Athena_SR.WID_Pistol_Muster_Athena_SR -> OK
[995] RowUpdate WorldList.ApolloLoot.Weapon.HighHandgun.13.Weight=0.000000 -> OK
[996] RowUpdate WorldList.ApolloLoot.Weapon.SMG.05.Weight=0.000000 -> OK
[997] RowUpdate WorldList.ApolloLoot.Weapon.SMG.06.Weight=0.000000 -> OK
[998] RowUpdate WorldList.ApolloLoot.Weapon.AssaultAuto.09.Weight=0.000000 -> OK
[999] RowUpdate WorldList.ApolloLoot.Weapon.AssaultAuto.10.Weight=0.000000 -> OK
[1000] RowUpdate WorldList.ApolloLoot.Weapon.AssaultAuto.17.Weight=0.000000 -> OK
[1001] RowUpdate WorldList.ApolloLoot.Weapon.AssaultAuto.18.Weight=0.000000 -> OK
[1002] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.88.Weight=0.000000 -> OK
[1003] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.89.Weight=0.000000 -> OK
[1004] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Shotgun.90.Weight=0.000000 -> OK
[1005] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Handgun.01.ItemDefinition=/MusterCoreWeapons/Items/Weapons/MusterPistol/WID_Pistol_Muster_Athena_C.WID_Pistol_Muster_Athena_C -> OK
[1006] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Handgun.02.Weight=0.250000 -> OK
[1007] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Handgun.02.ItemDefinition=/MusterCoreWeapons/Items/Weapons/MusterPistol/WID_Pistol_Muster_Athena_UC.WID_Pistol_Muster_Athena_UC -> OK
[1008] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Handgun.03.Weight=0.125000 -> OK
[1009] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Handgun.03.ItemDefinition=/MusterCoreWeapons/Items/Weapons/MusterPistol/WID_Pistol_Muster_Athena_R.WID_Pistol_Muster_Athena_R -> OK
[1010] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Handgun.04.Weight=0.075000 -> OK
[1011] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Handgun.04.ItemDefinition=/MusterCoreWeapons/Items/Weapons/MusterPistol/WID_Pistol_Muster_Athena_VR.WID_Pistol_Muster_Athena_VR -> OK
[1012] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Handgun.24.Weight=0.000000 -> OK
[1013] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Handgun.25.Weight=0.000000 -> OK
[1014] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Handgun.26.Weight=0.000000 -> OK
[1015] RowUpdate WorldList.AthenaSupplyDrop.Weapon.SMG.10.Weight=0.000000 -> OK
[1016] RowUpdate WorldList.AthenaSupplyDrop.Weapon.SMG.11.Weight=0.000000 -> OK
[1017] RowUpdate WorldList.AthenaSupplyDrop.Weapon.SMG.12.Weight=0.000000 -> OK
[1018] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Assault.17.Weight=0.000000 -> OK
[1019] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Assault.18.Weight=0.000000 -> OK
[1020] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Assault.19.Weight=0.000000 -> OK
[1021] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Assault.20.Weight=0.000000 -> OK
[1022] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Assault.34.Weight=0.000000 -> OK
[1023] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Assault.35.Weight=0.000000 -> OK
[1024] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Assault.36.Weight=0.000000 -> OK
[1025] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Assault.101.Weight=0.250000 -> OK
[1026] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Assault.102.Weight=0.125000 -> OK
[1027] RowUpdate WorldList.AthenaSupplyDrop.Weapon.Assault.103.Weight=0.075000 -> OK
[1028] RowUpdate WorldList.ApolloLoot.Weapon.AssaultAuto.51.Weight=0.750000 -> OK
[1029] RowUpdate WorldList.ApolloLoot.Weapon.AssaultAuto.52.Weight=0.250000 -> OK
[1030] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.100.Weight=0.400000 -> OK
[1031] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.101.Weight=0.080000 -> OK
[1032] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.102.Weight=0.016000 -> OK
[1033] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.103.Weight=0.004000 -> OK
[1375] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.77.Weight=0.000000 -> OK
[1376] RowUpdate WorldList.AthenaLoot.Weapon.Shotgun.80.Weight=0.000000 -> OK
[1377] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.108.Weight=0.016000 -> OK
[1378] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.109.Weight=0.000000 -> OK
[1379] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.110.Weight=0.000000 -> OK
[1380] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.112.Weight=0.016000 -> OK
[1381] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.113.Weight=0.000000 -> OK
[1382] RowUpdate WorldList.AthenaLoot.Weapon.HighShotgun.114.Weight=0.000000 -> OK
[1383] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.52.Weight=0.200000 -> OK
[1384] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.53.Weight=0.000000 -> OK
[1385] RowUpdate WorldList.AthenaLoot.Weapon.HighHandgun.54.Weight=0.000000 -> OK
[1386] RowUpdate WorldList.AthenaLoot.Weapon.SMG.56.Weight=0.000000 -> OK
[1387] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.77.Weight=0.016000 -> OK
[1388] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.78.Weight=0.000000 -> OK
[1389] RowUpdate WorldList.AthenaLoot.Weapon.HighSMG.79.Weight=0.000000 -> OK
[1390] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.92.Weight=0.000000 -> OK
[1391] RowUpdate WorldList.AthenaLoot.Weapon.AssaultAuto.95.Weight=0.000000 -> OK
[1392] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.125.Weight=0.016000 -> OK
[1393] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.126.Weight=0.000000 -> OK
[1394] RowUpdate WorldList.AthenaLoot.Weapon.HighAssaultAuto.127.Weight=0.000000 -> OK
